Text 1	Text 2	Sound 2	Text 3	Extra Info
shǎbī	1	102f437b67b5c1db39816a7cd540f1b6.m4a	shǎbī|▸ 傻逼 idiot, con	<font size=12>傻逼</font> (shǎbī)||Mots associés :|傻　 [shǎ] idiot|牛逼 [niúbī] awesome (anglais)…
jīnnián	1	51053a50b77a3ff5a1d1d86ef9877bb6.m4a	jīnnián|▸ 今年 cette année	<font size=12>今年</font> (jīnnián)||Mots associés :|今天 [jīntiān] aujourd'hui|明年 [míngnián] l'année prochain…|年　 [nián] année
tāmende	3	0c98d285db89031e631166531cee2d98.m4a	tāmende|▸ 他们的 leur (possesseur masculin ou multiple)|▸ 她们的 leur (possesseur féminin)|▸ 它们的 leur (possesseur neutre)	
dūodà	1	c079019a3c3e03c0f5436e1c1a955d86.m4a	dūodà|▸ 多大 combien (grand)? (quantité, âge, taille)	<font size=12>多大</font> (dūodà)||Mots associés :|大　　 [dà] grand, (clé 37)|大学　 [dàxué] université|大学生 [dàxuéshēng] étudiant(e)|大家好 [dàjiā hǎo] bonjour tout l…
péngyǒu	1	da0882cf324995a638ba27f72fa53edc.m4a	péngyǒu|▸ 朋友 ami	<font size=12>朋友</font> (péngyǒu)||
fǎdéxuéyuàn	1	3512160429e55574d75a9e4a9fcd8d47.m4a	fǎdéxuéyuàn|▸ 法德学院 institut franco-allemand	<font size=12>法德学院</font> (fǎdéxuéyuàn)||Mots associés :|法国　 [fǎguó] France|法文　 [fǎwén] la langue français…|法国人 [fǎguórén] français|德文　 [déwén] la langue allemand…|德国　 [déguó] Allemagne|德国人 [déguórén] un Allemand|大学　 [dàxué] université|学院　 [xuéyuàn] institut (d'étud…|大学生 [dàxuéshēng] étudiant(e)|同学　 [tóngxué] camarade de clas…|学　　 [xué] apprendre…|学生　 [xuéshéng] étudiant, élève|院　　 [yuàn] cour…
hàomǎ	1	a32cdb2f454dc533f577fd0ff3b18935.m4a	hàomǎ|▸ 号码 numéro	<font size=12>号码</font> (hàomǎ)||Mots associés :|号　　　 [hào] numéro|电话号码 [diànhuàhàomǎ] numéro de …|号　　　 [hào] jour du mois…|码　　　 [mǎ] code, codage
chīfàn	1	156e8d45af73e846ae0c7885a8a21fb9.m4a	chīfàn|▸ 吃饭 manger	<font size=12>吃饭</font> (chīfàn)||Mots associés :|饭 [fàn] repas
xīngqīèr	1	72db6b77fc6134879f7e746ac8c959ab.m4a	xīngqīèr|▸ 星期二 mardi	<font size=12>星期二</font> (xīngqīèr)||Mots associés :|星期六 [xīngqīliù] samedi|星期五 [xīngqīwǔ] vendredi|星期一 [xīngqīyī] lundi|星期日 [xīngqīrì] dimanche|星　　 [xīng] étoile|星期　 [xīngqī] semaine|星期三 [xīngqīsān] mercredi|星期四 [xīngqīsì] jeudi|期　　 [qī] période, échéance|二　　 [èr] deux (ordinal) (clé 7…
xuéyuàn	1	b91e1ab498bedaa8cc616c7cc9c3d1f2.m4a	xuéyuàn|▸ 学院 institut (d'études)	<font size=12>学院</font> (xuéyuàn)||Mots associés :|大学　　 [dàxué] université|法德学院 [fǎdéxuéyuàn] institut fr…|大学生　 [dàxuéshēng] étudiant(e)|同学　　 [tóngxué] camarade de cla…|学　　　 [xué] apprendre…|学生　　 [xuéshéng] étudiant…|院　　　 [yuàn] cour…
kuàilè	1	a30f7d63c6dd40e0fe84993556ee447b.m4a	kuàilè|▸ 快乐 joyeux	<font size=12>快乐</font> (kuàilè)||
bùxíng	1	f5578b533403e6a5cfd762221801e8bf.m4a	bùxíng|▸ 不行 ne pas aller (bien)	<font size=12>不行</font> (bùxíng)||Mots associés :|不好　 [bùhǎo] (être) mauvais…|不用　 [búyòng] inutile…|对不起 [duìbuqǐ] excusez-moi (pou…|对不起 [duìbuqǐ] je suis désolé|不　　 [bù] ne pas (être)|行　　 [xíng] aller (bien)…
zhōngguó	1	07df4f2f2c8805c532e5fa7c0b57d95d.m4a	zhōngguó|▸ 中国 la Chine	<font size=12>中国</font> (zhōngguó)||Mots associés :|中文　 [zhōngwén] la langue chino…|中　　 [zhōng] milieu…|中国人 [zhōngguórén] un Chinois|德国　 [déguó] Allemagne|法国人 [fǎguórén] français|法国　 [fǎguó] France|德国人 [déguórén] un Allemand|国家　 [guójiā] pays…|英国　 [yīngguó] Royaume-Uni|国　　 [guó] pays
xīngqīsān	1	d71e783b856ee7c1f4cd9f8a162ec689.m4a	xīngqīsān|▸ 星期三 mercredi	<font size=12>星期三</font> (xīngqīsān)||Mots associés :|星期六 [xīngqīliù] samedi|星期五 [xīngqīwǔ] vendredi|星期一 [xīngqīyī] lundi|星期日 [xīngqīrì] dimanche|星　　 [xīng] étoile|星期二 [xīngqīèr] mardi|星期　 [xīngqī] semaine|星期四 [xīngqīsì] jeudi|期　　 [qī] période, échéance|三　　 [sān] 
xīngqīyī	1	ff378e5d0e65de44173ad37b42974603.m4a	xīngqīyī|▸ 星期一 lundi	<font size=12>星期一</font> (xīngqīyī)||Mots associés :|星期六 [xīngqīliù] samedi|星期五 [xīngqīwǔ] vendredi|星期日 [xīngqīrì] dimanche|星　　 [xīng] étoile|星期二 [xīngqīèr] mardi|星期　 [xīngqī] semaine|星期三 [xīngqīsān] mercredi|星期四 [xīngqīsì] jeudi|期　　 [qī] période, échéance|一百　 [yìbǎi] cent|一　　 [yī] un, (clé 1)
jǐgè	1	2002d30172707007ddf84747f6b550fb.m4a	jǐgè|▸ 几个 combien (petit nombre)	<font size=12>几个</font> (jǐgè)||Mots associés :|几　　 [jǐ] combien? (petit nombr…|十个月 [shígèyuè] dix mois|个　　 [gè] {spécificatif général…
tiānkōng	1	84356362aa6182889a957c39a01432be.m4a	tiānkōng|▸ 天空 le ciel	<font size=12>天空</font> (tiānkōng)||Mots associés :|天　 [tiān] jour, ciel|今天 [jīntiān] aujourd'hui|明天 [míngtiān] demain|空　 [kōng] vide|有空 [yǒukòng] avoir du temps li…
lǎoshī	1	0acecf54065233a26fadb60cee3113f6.m4a	lǎoshī|▸ 老师 professeur	<font size=12>老师</font> (lǎoshī)||
kāfēi	1	27674d00fbe3fdb53d16bdf446feda6b.m4a	kāfēi|▸ 咖啡 café	<font size=12>咖啡</font> (kāfēi)||
liǎngbǎi	1	4884937aa591a5159720150c53f28d91.m4a	liǎngbǎi|▸ 两百 deux cents	<font size=12>两百</font> (liǎngbǎi)||Mots associés :|两　 [liǎng] deux (numéral)|百　 [bǎi] cent|一百 [yìbǎi] cent
diànhuàhàomǎ	1	1389913e7973c1088f38e5c4bf072e5d.m4a	diànhuàhàomǎ|▸ 电话号码 numéro de téléphone	<font size=12>电话号码</font> (diànhuàhàomǎ)||Mots associés :|电　 [diàn] électricité|电话 [diànhuà] téléphone|话　 [huà] parole|号码 [hàomǎ] numéro|号　 [hào] numéro|号　 [hào] jour du mois…|码　 [mǎ] code, codage
gēge	1	f02348eea1c0c83d0141fca173f861b9.m4a	gēge|▸ 哥哥 grand frère	<font size=12>哥哥</font> (gēge)|Confusions possibles :|个 [gè] {spécificatif général}||
jiārén	1	0230dcc0d6297da43d6a378fd1026744.m4a	jiārén|▸ 家人 membres de la famille	<font size=12>家人</font> (jiārén)||Mots associés :|家　　 [jiā] maison|大家好 [dàjiā hǎo] bonjour tout l…|国家　 [guójiā] pays…|人　　 [rén] une personne|德国人 [déguórén] un Allemand|法国人 [fǎguórén] français|中国人 [zhōngguórén] un Chinois|日本人 [rìběnrén] un Japonais
qǐngwèn	1	43698899c1c27fd0862de0ed43084fbb.m4a	qǐngwèn|▸ 请问 puis-je vous demander?	<font size=12>请问</font> (qǐngwèn)||Mots associés :|请 [qǐng] inviter qqn|请 [qǐng] inviter qqn à faire q…|问 [wèn] demander, interroger
míngtiān	1	b274ff4796b1db3676ba9c98d03ecd1f.m4a	míngtiān|▸ 明天 demain	<font size=12>明天</font> (míngtiān)||Mots associés :|明年 [míngnián] l'année prochain…|天空 [tiānkōng] le ciel|天　 [tiān] jour, ciel|今天 [jīntiān] aujourd'hui
tàiyáng	1	53c55bdc2c4495fdcd2c876d7f91c071.m4a	tàiyáng|▸ 太阳 le soleil	<font size=12>太阳</font> (tàiyáng)||
zāogāo	1	bf3e0b929c8a2ac4dd46ba667372352b.m4a	zāogāo|▸ 糟糕 zut! (litt. gâteau pourri)	<font size=12>糟糕</font> (zāogāo)||
xǐhuān	1	45eab7da337580ee56bc7b8b39bcc101.m4a	xǐhuān|▸ 喜欢 aimer, <em>like</em>	<font size=12>喜欢</font> (xǐhuān)||
bàba	1/2	0aacfa8e0c411bd48d26428aed422e9a.m4a	bàba|▸ 爸爸 papa|——————————|▸ 88 [bāba] bye-bye (chat) [translitt., plaisant.]	<font size=12>爸爸</font> (bàba)|Confusions possibles :|88 [bāba] bye-bye (chat) [tran…|八　 [bā] (clé 12)||
dìdi	1	b25dd905b6f1dfdb2cda62c58d8dbf38.m4a	dìdi|▸ 弟弟 petit frère	<font size=12>弟弟</font> (dìdi)|Confusions possibles :|的 [de] [particule reliant déte…||Mots associés :|兄弟 [xiōngdì] frères
jiějie	1	b9891121a82c25d19a49343b936259d3.m4a	jiějie|▸ 姐姐 grande sœur	<font size=12>姐姐</font> (jiějie)|Confusions possibles :|节 [jié] fête (calendaire)||Mots associés :|姐妹 [jiěmèi] sœurs
nǐmen	1	5a9b2d7ae1ee031ad6f2ee4b3e6c4bf7.m4a	nǐmen|▸ 你们 vous (pluriel)	<font size=12>你们</font> (nǐmen)||Mots associés :|你　　 [nǐ] tu, toi|你们的 [nǐmende] votre…|你的　 [nǐde] ton, tes|你好　 [nǐhǎo] bonjour|她们的 [tāmende] leur (possesseur…|他们的 [tāmende] leur (possesseur…|我们　 [wǒmen] nous|他们　 [tāmen] ils, eux|们　　 [men] [suffixe du pluriel]|她们　 [tāmen] elles|它们的 [tāmende] leur (possesseur…|它们　 [tāmen] ils…|我们的 [wǒmende] notre, nos
xuéshéng	1	97a9e72639dc353f3b57880b1a1ba5cf.m4a	xuéshéng|▸ 学生 étudiant, élève	<font size=12>学生</font> (xuéshéng)||Mots associés :|大学　　 [dàxué] université|学院　　 [xuéyuàn] institut (d'étu…|法德学院 [fǎdéxuéyuàn] institut fr…|大学生　 [dàxuéshēng] étudiant(e)|同学　　 [tóngxué] camarade de cla…|学　　　 [xué] apprendre…|先生　　 [xiānshēng] monsieur|出生　　 [chūshēng] naître|生日　　 [shēngrì] anniversaire
jīngcǎi	1	2a818e8bba0935b7b6eea45a69505271.m4a	jīngcǎi|▸ 精彩 génial (livre, film, spectacle, etc.)	<font size=12>精彩</font> (jīngcǎi)||
nàme	1	122761868139235bd4ecd7cc9366142d.m4a	nàme|▸ 那么 dans ce cas, alors	<font size=12>那么</font> (nàme)||
wǒmen	1	9af2c75f1c597d71642bb8dcf6dfb968.m4a	wǒmen|▸ 我们 nous	<font size=12>我们</font> (wǒmen)||Mots associés :|我　　 [wǒ] je, moi|我的　 [wǒde] mon, mes|我们的 [wǒmende] notre, nos|她们的 [tāmende] leur (possesseur…|你们的 [nǐmende] votre…|他们的 [tāmende] leur (possesseur…|你们　 [nǐmen] vous (pluriel)|他们　 [tāmen] ils, eux|们　　 [men] [suffixe du pluriel]|她们　 [tāmen] elles|它们的 [tāmende] leur (possesseur…|它们　 [tāmen] ils…
